species	habitat	feeding_mode	trophic_level	offspring_size	spawning_type	age_maturity	fecundity	length_infinity	growth_coefficient	length_max	age_max	length_infinity	relative_growth_rate	weight_infinity	maximum_age	age_at_maturity	Length_at_maturity	generation_time
Gaidropsarus_argentatus	bathydemersal	generalist	3,39	1,27	non-guarder	4	1644668	27	0,6	45	10	41,30518711	0,30227965	500,325506	9,535964008	2,717959889	25,10590917	472,9583774
Gaidropsarus_biscayensis	benthopelagic	benthivorous	3,57	0,78	non-guarder	2,8	2500000	27	0,6	40	8	41,30518711	0,30227965	500,325506	9,535964008	2,717959889	25,10590917	472,9583774
Gaidropsarus_macrophthalmus	demersal	benthivorous	3,5	0,78	non-guarder	2,8	2500000	27	0,6	19	8	41,30518711	0,30227965	500,325506	9,535964008	2,717959889	25,10590917	472,9583774
Gaidropsarus_mediterraneus	demersal	generalist	3,47	0,78	non-guarder	1,5	2500000	27	0,6	50	8	29,65687584	0,427598921	183,6341695	7,052406879	1,975879923	18,60210453	60,51737244
Gaidropsarus_vulgaris	demersal	benthivorous	3,47	0,78	non-guarder	3	2500000	27	0,6	60	6	41,30518711	0,30227965	500,325506	9,535964008	2,717959889	25,10590917	472,9583774
Galeorhinus_galeus	benthopelagic	piscivorous	4,34	280	bearer	5,5	29	172	0,12	195	57	171,7072808	0,121408195	26593,03795	43,97425638	13,31012397	125,5788452	19538659977
Galeus_atlanticus	bathydemersal	generalist	4,12	20	non-guarder	3,5	6	46	0,38	49	8	107,2646219	0,183307778	4886,588727	14,8122889	5,748418777	69,24459706	768473,8849
Galeus_melastomus	demersal	generalist	4,17	42	non-guarder	3,5	93	46	0,38	54	8	107,2646219	0,183307778	4886,588727	14,8122889	5,748418777	69,24459706	768473,8849
Galeus_murinus	bathydemersal	piscivorous	4,12	30	non-guarder	3,5	54	46	0,38	63	8	107,2646219	0,183307778	4886,588727	14,8122889	5,748418777	69,24459706	768473,8849
Glyptocephalus_cynoglossus	demersal	benthivorous	3,17	1,16	non-guarder	7,9	100000	62	0,1	78	25	42,57932191	0,203579296	632,4177436	21,38293437	5,283302392	26,68999889	122424,573
Gnathophis_mystax	demersal	benthivorous	3,48	2,75	non-guarder	10	5500000	229	0,07	60	16,7	78,3875315	0,148009988	3258,524704	13,16380747	4,329853083	39,41758089	157273,3088
Gobius_auratus	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	12,87796919	0,48894388	17,55084963	5,320994758	1,103839799	6,94165078	26,13042594
Gobius_cobitis	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	21,28258801	0,300759503	80,09740959	8,148186816	1,730835037	10,95559944	160,5612971
Gobius_gasteveni	demersal	benthivorous	3,3	1,96	guarder	2	4739	10	0,43	12	5	12,87796919	0,48894388	17,55084963	5,320994758	1,103839799	6,94165078	26,13042594
Gobius_niger	demersal	benthivorous	3,31	1,5	guarder	2	3500	10	0,43	15	5	15,60005954	0,442752801	30,42570969	4,772770709	1,029902405	7,667732158	20,00986314
Gobius_paganellus	demersal	benthivorous	3,3	2,42	guarder	1,5	3076	12	0,41	13	10	13,87723337	0,409104762	23,44598472	7,369218835	1,4336374	7,865895288	55,76061541
Gobiusculus_flavescens	demersal	benthivorous	3,18	1	guarder	1	5016	7	0,94	6	2	7,244810409	0,965598298	2,961365558	2,777401709	0,611954986	4,105819991	4,795738563
Gymnammodytes_semisquamatus	demersal	planktivorous	2,68	0,94	non-guarder	3,2	13133	19	0,38	30	9,5	29,320886	0,404970033	196,9194775	8,888620867	2,019326178	18,43629013	204,7004223
Halargyreus_johnsonii	bathypelagic	generalist	3,38	0,98	non-guarder	10,5	600000	64	0,15	56	27,4	58,37899776	0,202576899	1439,52894	14,0527009	3,926228455	33,43764029	39184,24554
Halosauropsis_macrochir	bathydemersal	benthivorous	3,27	NA	non-guarder	NA	NA	61	0,39	76	36	33,21824387	0,351773428	307,2514685	7,473380106	2,173158653	18,52084639	775,3405558
Harriotta_raleighana	bathydemersal	benthivorous	3,55	125	non-guarder	NA	NA	NA	NA	103	NA	96,39969505	0,161174921	6557,550394	17,14389529	5,79373331	56,84275801	7732035,557
Helicolenus_dactylopterus	bathydemersal	generalist	3,54	2,8	non-guarder	13	230055	34	0,07	47	43	37,17675484	0,123698451	498,7438519	19,91597001	7,153485999	20,64144901	3827285,283
Heptranchias_perlo	bathydemersal	piscivorous	4,16	750	bearer	16	15	202	0,25	139	32	174,9110988	0,144789034	27643,30671	19,57103639	7,68880165	106,2990588	48517051,97
Hexanchus_griseus	bathydemersal	generalist	4,48	750	bearer	16	65	202	0,25	482	32	174,9110988	0,144789034	27643,30671	19,57103639	7,68880165	106,2990588	48517051,97
Hippocampus_guttulatus	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	14,71661968	1,093564346	14,76365581	3,29253475	0,801880347	8,646317862	7,674577432
Hippocampus_hippocampus	demersal	generalist	3,15	1,52	bearer	0,4	338	17	1,26	15	1	11,96142819	1,442098175	7,782538397	2,62214413	0,626317112	7,250300498	5,550347807
Hippoglossoides_platessoides	demersal	generalist	4,08	2,01	non-guarder	7,6	762611	66	0,1	83	30	63,47067341	0,106114014	3249,914723	24,53769102	5,976480521	32,05420073	2141483,243
Hippoglossus_hippoglossus	demersal	piscivorous	4	3,4	non-guarder	5,9	2400000	210	0,03	470	30	211,1402327	0,068015208	128224,6377	32,53341407	9,785214237	94,73493486	2061565789
Holtbyrnia_anomala	bathypelagic	planktivorous	3,1	NA	non-guarder	NA	NA	35	0,86	25	NA	24,24089887	0,498110231	102,8956296	6,544579868	1,955033839	17,08298068	102,6201189
Hoplostethus_atlanticus	bathypelagic	generalist	4,25	2,25	non-guarder	15,8	132465	54	0,05	67	149	60,42694861	0,068959531	2036,837885	23,67028095	9,479926025	28,92345743	97764748,8
Howella_sherborni	bathypelagic	planktivorous	3,1	NA	NA	NA	NA	10	0,85	8	NA	14,94451146	0,591363226	32,44882235	6,117143246	1,32410723	10,07672101	36,51289372
Hydrolagus_affinis	bathydemersal	generalist	4	150	non-guarder	12	19	88	0,21	130	28	93,22735363	0,169152713	5884,757417	16,49557052	5,548462494	55,45067994	461279,442
Hydrolagus_mirabilis	bathydemersal	generalist	3,94	150	non-guarder	12	19	88	0,21	41	28	93,22735363	0,169152713	5884,757417	16,49557052	5,548462494	55,45067994	461279,442
Hydrolagus_pallidus	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	93,22735363	0,169152713	5884,757417	16,49557052	5,548462494	55,45067994	461279,442
Hygophum_benoiti	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	8,86607341	0,686904721	5,749004472	3,267585225	0,959135074	5,161974258	10,84755736
Hymenocephalus_italicus	benthopelagic	generalist	3,4	1,5	non-guarder	12,4	31226	74	0,11	5	9	44,0604257	0,193966052	587,4165202	22,57933566	6,062172554	27,9421959	225374,8065
Hyperoplus_immaculatus	demersal	piscivorous	4,38	0,94	non-guarder	2	13133	30	0,4	35	9,5	29,55293891	0,386999249	197,5088347	9,292797132	2,100490558	18,86290263	191,7943659
Hyperoplus_lanceolatus	demersal	generalist	3,98	0,94	non-guarder	2	13133	30	0,4	40	9,5	29,72148971	0,374531743	197,9351129	9,595748892	2,161063704	19,17679289	159,1397959
Icelus_bicornis	demersal	benthivorous	3,13	1,96	non-guarder	2	38565	27	0,14	16	8	23,79576813	0,232618283	121,3847411	9,815157966	3,020260723	13,71919055	1748,410927
Ilyophis_blachei	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	90,20698943	0,211908908	4127,914658	10,85669283	3,385218972	47,59889678	19003,1546
Labrus_bergylta	reef-associated	benthivorous	3,2	1	guarder	2	160631	43	0,13	51	9	50,80599377	0,121995819	2268,382492	27,19748756	6,375186158	27,11609567	3155552,845
Labrus_mixtus	reef-associated	benthivorous	3,91	1	guarder	2	160631	39	0,11	40	20	40,10738711	0,166416033	1075,151686	18,5204365	4,538196249	20,45307128	28108,55845
Lamna_nasus	pelagic	piscivorous	4,57	670	bearer	13,5	3	306	0,08	329	30	304,1888609	0,094117181	141641,7908	30,27246878	11,38702783	193,7242552	663919639,5
Lampanyctus_crocodilus	bathypelagic	planktivorous	3,22	0,5	non-guarder	0,5	7020	9	0,38	30	6	8,86607341	0,686904721	5,749004472	3,267585225	0,959135074	5,161974258	10,84755736
Lampanyctus_intricarius	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	8,86607341	0,686904721	5,749004472	3,267585225	0,959135074	5,161974258	10,84755736
Lampetra_fluviatilis	demersal	piscivorous	4,5	0,61	non-guarder	4	23250	22	0,16	45	10	25,60760761	0,234295486	118,8989622	8,107082002	3,132511734	14,544731	761,6591383
Lampris_guttatus	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	54,20518783	0,239207168	1354,832088	10,53667685	3,127580792	28,82623215	11650,86256
Lepadogaster_lepadogaster	demersal	benthivorous	2,78	1,85	guarder	NA	195	4	0,79	7	5	7,610783336	0,886265923	3,686998944	3,163133112	0,886249576	4,728182513	11,58078471
Lepidion_eques	benthopelagic	benthivorous	3,24	0,98	non-guarder	8,5	600000	43	0,15	33	13	48,71360354	0,260223428	924,2860005	11,74439026	3,358191165	27,46453362	969,6005239
Lepidopus_caudatus	benthopelagic	generalist	3,82	1,6	non-guarder	4,5	213500	95	0,06	164	7	148,7924362	0,216660236	9047,603667	10,84866668	2,87758316	75,04143231	5542,241155
Lepidorhombus_boscii	demersal	benthivorous	3,74	1,1	non-guarder	1	500000	41	0,14	35	13	37,28398972	0,188896172	476,5964067	12,12657899	2,81729557	16,64291525	3069,684316
Lepidorhombus_whiffiagonis	bathydemersal	benthivorous	4,34	1,1	non-guarder	2,8	500000	58	0,12	47	16	51,21651814	0,15286887	1257,887637	15,0435719	3,385655755	22,99062111	32188,41547
Lepidotrigla_cavillone	demersal	generalist	3,33	1,3	non-guarder	2	250000	16	0,37	16	5	19,85721924	0,457694735	81,56301442	7,083467837	2,052605562	12,08150874	50,51921907
Lepidotrigla_dieuzeidei	demersal	generalist	3,66	1,3	non-guarder	2	250000	16	0,37	20	5	24,92296507	0,400306992	157,9440305	8,30863069	2,378570663	15,25239793	175,1203832
Leptagonus_decagonus	demersal	generalist	3,21	2	non-guarder	3	1197	16	0,33	19	11	20,65544774	0,335848624	69,52984688	6,722276713	2,154887661	12,46493445	272,9460835
Leptoclinus_maculatus	demersal	benthivorous	3,28	1,5	guarder	3,3	1000	56	0,12	23	10	36,36059633	0,225771897	543,9977027	13,50975788	3,199510769	20,41640713	13966,80286
Lesueurigobius_friesii	demersal	benthivorous	3,55	1,8	guarder	2	6500	7	0,7	9	11	11,98401457	0,604323455	12,82865821	4,279397147	0,946895825	6,765546299	13,03780833
Lesueurigobius_sanzi	demersal	benthivorous	3,55	1,8	guarder	2	6500	7	0,7	11	2,8	12,16977308	0,618533271	13,76966821	4,168409406	0,929116603	6,735794038	13,45888301
Leucoraja_circularis	demersal	benthivorous	3,5	60	non-guarder	6,4	48	75	0,16	120	20,3	81,78075762	0,161349911	2399,268387	15,02743207	7,207374345	54,73768285	261704,1105
Leucoraja_fullonica	bathydemersal	benthivorous	3,5	150	non-guarder	6,4	48	83	0,13	120	20,3	81,78075762	0,161349911	2399,268387	15,02743207	7,207374345	54,73768285	261704,1105
Leucoraja_lentiginosa	demersal	generalist	3,96	56	non-guarder	6,4	48	85	0,14	43	20,3	81,78075762	0,161349911	2399,268387	15,02743207	7,207374345	54,73768285	261704,1105
Leucoraja_naevus	demersal	benthivorous	4,21	50	non-guarder	8,5	63	75	0,16	71	28	84,99019	0,135489609	2641,98784	18,05482602	8,539216952	57,85719272	2894220,942
Limanda_limanda	demersal	benthivorous	3,39	1,2	non-guarder	2,6	236000	31	0,29	44	12	30,94572157	0,306279744	383,8916854	11,72768002	2,20807731	16,05242175	1371,729371
Liparis_montagui	demersal	benthivorous	3,45	1,11	non-guarder	1	700	13	0,68	12	2	14,95327974	0,737864463	27,06975092	4,309401388	1,228234669	9,917223496	16,93901728
Lipophrys_pholis	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	16,51971378	0,446059087	50,19362189	5,975526466	1,396327061	8,896859293	28,20485496
Lithognathus_mormyrus	demersal	benthivorous	3,42	1,14	non-guarder	2,2	408380	36	0,21	55	12	35,48001596	0,213240359	661,2204748	12,24420708	2,888807743	17,32244206	803,7465124
Lophius_budegassa	bathydemersal	piscivorous	4,41	1,8	non-guarder	8,2	200000	98	0,09	93	21	88,0886339	0,110969617	8042,217689	12,57035645	4,371424321	35,05826486	20131,04476
Lophius_piscatorius	bathydemersal	piscivorous	4,45	2,7	non-guarder	4,5	1500000	162	0,09	140	24	137,7746365	0,108904952	28959,08704	11,11867325	3,990815906	52,82578195	9267,564231
Lota_lota	demersal	generalist	3,84	0,73	non-guarder	5	703839	89	0,13	110	24,5	94,98878397	0,114223808	5735,625974	21,61926079	6,476438031	54,49394799	1804009,226
Lumpenus_lampretaeformis	demersal	benthivorous	3,59	0,8	guarder	3	700	48	0,2	40	9	45,24940378	0,180962069	1012,658235	16,62708832	3,927079646	25,66878149	25716,44391
Lycenchelys_sarsii	bathydemersal	benthivorous	3,21	5,4	guarder	4	25	107	0,09	23	6	44,98386136	0,232812807	773,251876	11,09046661	2,82612837	24,63198777	3342,959497
Lycodes_gracilis	demersal	benthivorous	3,65	4,45	guarder	3	30	21	0,21	39	11	55,32903259	0,22340779	1347,186338	10,72964728	2,792362578	30,62553396	1074,012138
Lycodes_pallidus	demersal	benthivorous	3,14	5,5	guarder	3	40	22	0,24	29	9	56,68971694	0,217977895	1458,1292	10,94000483	2,856061343	31,17141578	2005,236025
Lycodes_terraenovae	bathydemersal	benthivorous	3,45	5,6	guarder	3,6	30	22	0,24	51	14,4	56,68971694	0,217977895	1458,1292	10,94000483	2,856061343	31,17141578	2005,236025
Lycodes_vahlii	bathydemersal	generalist	3,4	5	guarder	3,6	254	22	0,24	57	14,4	56,68971694	0,217977895	1458,1292	10,94000483	2,856061343	31,17141578	2005,236025
Macroramphosus_scolopax	demersal	benthivorous	3,47	1	non-guarder	NA	NA	18	0,4	23	6	17,71677945	0,563355926	33,48280314	3,906730499	1,1937859	9,828027455	14,55930565
Macrourus_berglax	benthopelagic	benthivorous	3,57	1,5	non-guarder	12,4	43860	121	0,03	110	25	83,2228215	0,082797024	4174,818448	46,11558695	13,06450816	48,22332253	9,79358E+11
Malacocephalus_laevis	bathydemersal	generalist	3,79	1,5	non-guarder	14,8	29976	74	0,11	60	42	50,65223494	0,160338314	901,1358687	26,50504623	7,196726646	31,54094499	7977561,715
Malacosteus_niger	bathypelagic	generalist	3,72	1,77	non-guarder	NA	45000	28	0,41	26	6,8	23,55069395	0,405274695	92,14255272	6,414048212	1,806111219	14,82950924	135,3228877
Maulisia_microlepis	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	24,24089887	0,498110231	102,8956296	6,544579868	1,955033839	17,08298068	102,6201189
Maurolicus_muelleri	bathypelagic	planktivorous	3,01	1,48	non-guarder	1	350	5	0,95	5	8	6,688831593	0,86428143	2,040821054	3,104998602	0,84880512	4,687912184	7,56346767
Melanogrammus_aeglefinus	demersal	benthivorous	4,03	1,38	non-guarder	3,4	969000	76	0,33	76	20	66,61867077	0,241147299	3211,995037	14,16516805	2,329819971	37,04945256	1546,295945
Melanonus_zugmayeri	bathypelagic	NA	3,5	NA	NA	NA	NA	NA	NA	28	NA	52,62524482	0,225554455	1073,90624	12,73080585	3,456467205	29,67790107	48753,63969
Melanostigma_atlanticum	bathypelagic	generalist	3	5,6	guarder	3,5	1000	44	0,13	16	11	44,98386136	0,232812807	773,251876	11,09046661	2,82612837	24,63198777	3342,959497
Melanostomias_bartonbeani	bathypelagic	piscivorous	4,5	1,77	non-guarder	NA	45000	28	0,41	26	6,8	23,55069395	0,405274695	92,14255272	6,414048212	1,806111219	14,82950924	135,3228877
Merlangius_merlangus	benthopelagic	generalist	4,36	1,14	non-guarder	1,5	381095	46	0,27	46	20	44,63663772	0,290320788	781,489942	10,9741363	2,374462121	25,97623375	438,2910293
Merluccius_merluccius	demersal	generalist	4,42	0,97	non-guarder	3,4	1834285	108	0,11	86	20	80,25878286	0,140717711	1898,639759	11,50958019	2,974394148	32,21221354	8345,861682
Micrenophrys_lilljeborgii	demersal	generalist	3,79	2	non-guarder	3,9	31696	25	0,27	7	6,3	25,7423147	0,233419972	152,9765047	9,868106163	3,030692581	14,81517818	2620,266196
Microchirus_boscanion	demersal	benthivorous	3,23	1,2	non-guarder	3	500000	34	0,29	20	71,7	29,71896218	0,303569205	216,5296346	13,61974928	2,895421867	18,09088081	2751,190082
Microchirus_ocellatus	demersal	benthivorous	3,23	1	non-guarder	3	500000	34	0,29	20	71,7	29,71896218	0,303569205	216,5296346	13,61974928	2,895421867	18,09088081	2751,190082
Microchirus_variegatus	demersal	benthivorous	3,28	1,2	non-guarder	3	500000	19	0,38	25	14	20,80141746	0,378554372	71,86278991	11,21667075	2,337794033	13,32300932	471,9221916
Micromesistius_poutassou	bathypelagic	generalist	4,13	1,16	non-guarder	1,9	122000	45	0,14	34	20	36,21150481	0,292354504	346,4526287	12,96481843	3,00347545	23,08106488	709,7439935
Microstomus_kitt	demersal	benthivorous	3,21	1,29	non-guarder	4	95000	39	0,22	67	23	40,02209378	0,215253556	995,3214457	27,88358251	6,398230614	27,28521608	320706,4467
Mola_mola	pelagic	generalist	3,68	1,3	non-guarder	NA	300000000	336	0,31	150	NA	245,7314272	0,151006575	162060,6578	15,66506883	4,868917317	114,8502568	33733,3906
Molva_dypterygia	demersal	generalist	4,49	1,05	non-guarder	7	703839	143	0,13	38	20	138,2861849	0,121174272	19232,64504	21,18583946	6,355173986	76,24796384	498858,1463
Molva_macrophthalma	demersal	generalist	4,5	1,05	non-guarder	6,5	2500000	154	0,12	108	23	115,3358344	0,135160764	11201,71764	19,06674961	5,67802833	64,1380403	282029,9514
Molva_molva	demersal	generalist	4,4	1,05	non-guarder	6	2000000	168	0,11	200	25	144,8777612	0,119325911	22552,37294	20,9203568	6,274971451	78,64274152	292229,9226
Monochirus_hispidus	demersal	benthivorous	3,28	1,17	non-guarder	3	113750	13	0,39	13	13	13,6600417	0,434231726	23,75051943	8,170475931	1,663955665	7,918255863	98,80624967
Mora_moro	benthopelagic	benthivorous	3,75	0,98	non-guarder	10,5	600000	64	0,1	72	38	67,01613585	0,134453724	2257,693675	19,47257243	5,605709354	36,87403237	552345,1973
Mugil_cephalus	benthopelagic	generalist	2,48	0,78	non-guarder	6	652140	49	0,28	100	16	59,84538808	0,243490094	1559,303317	13,75415734	3,531135061	31,69428667	2957,601738
Mullus_surmuletus	demersal	benthivorous	3,45	0,87	non-guarder	1,5	20362	53	0,18	40	11	31,27842087	0,293440479	286,9031918	8,331584641	1,350873525	15,83919392	121,0706315
Mustelus_asterias	demersal	benthivorous	3,68	300	bearer	5	11	114	0,17	140	11,9	117,9768162	0,168631392	7170,319458	15,12536272	5,878371276	74,49196887	84339,99637
Mustelus_mustelus	demersal	generalist	3,75	390	bearer	13,5	10	175	0,08	164	24	171,9090968	0,124157647	24387,44085	20,34142655	8,097515384	99,86534617	3393702,442
Myctophum_punctatum	bathypelagic	planktivorous	3,39	0,5	non-guarder	0,5	800	10	0,23	11	5	9,855619535	0,380228754	8,062090689	5,178829651	1,565735829	5,302025047	35,76249005
Myliobatis_aquila	benthopelagic	generalist	3,61	275	bearer	4,5	5	206	0,14	183	23	107,199907	0,147021947	5643,349195	15,14492079	5,726238182	58,01931753	898111,7003
Myoxocephalus_scorpioides	demersal	benthivorous	3,39	2,15	guarder	5,4	8228	46	0,2	30	12	38,84437726	0,265837217	510,3524009	9,298409711	2,807778376	22,26333116	873,7752073
Myoxocephalus_scorpius	demersal	generalist	3,89	2,15	guarder	2	11150	24	0,44	90	8	24,12051968	0,411638222	115,2690384	6,43635525	1,871612545	14,98006272	69,90689004
Myxine_glutinosa	demersal	benthivorous	4,54	5	non-guarder	8	25	112	0,12	79	NA	98,67751696	0,138001653	6665,480218	19,13995291	6,576003779	57,61218231	45254447,65
Naucrates_ductor	reef-associated	planktivorous	3,98	1,14	non-guarder	2,7	793500	42	2,35	34	19,8	34,59973781	1,76086417	376,7518278	2,430781647	0,450292636	22,19921627	3,142420507
Nemichthys_scolopaceus	bathypelagic	planktivorous	3,5	NA	non-guarder	NA	NA	100	0,3	146	NA	90,52686625	0,194398745	3751,085765	11,2087276	3,486542698	50,85840131	3588,596471
Neocyttus_helgae	bathypelagic	generalist	3,58	NA	non-guarder	25,5	37333	45	0,08	31	100	44,51984265	0,128431428	1035,734781	21,84703932	6,618114738	25,3255827	17506433,98
Neogobius_melanostomus	demersal	benthivorous	3,3	0,89	guarder	2	2650	16	0,26	25	6	14,05673297	0,444634805	22,66728953	5,362994081	1,239911625	7,305580932	23,7311168
Neoraja_caerulea	bathydemersal	benthivorous	3,5	150	non-guarder	4,8	55	109	0,13	30	21,3	103,5431965	0,140511446	5023,295494	16,53429249	8,135706156	66,85285848	4125460,456
Nerophis_lumbriciformis	demersal	generalist	4,03	1,3	bearer	0,5	357	30	1,05	17	3,8	13,63547226	1,002957159	10,2860851	3,299152426	0,82848682	8,758962184	11,5465076
Nerophis_ophidion	demersal	generalist	4,01	1,2	bearer	0,5	250	30	1,05	29	3,8	12,10673062	1,01337083	6,783692601	3,26593167	0,81234006	8,055196676	9,484058436
Nesiarchus_nasutus	benthopelagic	generalist	4,33	1	non-guarder	4	1450000	105	0,2	130	12,2	53,98576999	0,260420809	1483,798518	12,71395167	3,056260766	30,53680384	5209,352827
Nettastoma_melanurum	bathydemersal	benthivorous	3,5	1,46	non-guarder	3,5	13444	60	0,4	77	NA	65,56685841	0,215817451	1525,534832	10,56775142	3,25279289	36,41097235	13127,54398
Nezumia_aequalis	benthopelagic	generalist	3,26	1,5	non-guarder	12,4	31226	30	0,13	36	9	39,51580819	0,16679939	436,8485419	24,97157924	6,821509922	24,63322314	738593,8184
Nezumia_bairdii	benthopelagic	generalist	3,34	1,5	non-guarder	4	29976	30	0,13	43	11	35,01146254	0,191618762	297,0723073	22,30872149	6,012842851	22,41209335	187822,416
Nezumia_sclerorhynchus	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	33,49366326	0,163479169	276,0408077	24,6992601	6,841934404	20,51871645	509970,0248
Normichthys_operosus	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	24,24089887	0,498110231	102,8956296	6,544579868	1,955033839	17,08298068	102,6201189
Notacanthus_bonaparte	bathypelagic	benthivorous	3,93	1,3	non-guarder	NA	30000	NA	NA	26	NA	33,21824387	0,351773428	307,2514685	7,473380106	2,173158653	18,52084639	775,3405558
Notacanthus_chemnitzii	benthopelagic	benthivorous	3,5	1,3	non-guarder	NA	20000	NA	NA	122	NA	33,21824387	0,351773428	307,2514685	7,473380106	2,173158653	18,52084639	775,3405558
Notoscopelus_kroyeri	bathypelagic	planktivorous	3,17	0,5	non-guarder	0,5	3380	12	0,89	19	2	14,98321087	0,362744437	29,31822736	5,800497077	1,726298287	8,481131323	65,50075511
Oncorhynchus_mykiss	benthopelagic	generalist	4,08	4	non-guarder	3,2	6475	59	0,51	40	11	62,67199186	0,48112071	2111,350769	6,88079678	2,162636194	39,58429301	24,45044335
Ophidion_barbatum	demersal	benthivorous	3,57	0,32	non-guarder	0,7	517379	128	0,12	25	25,5	61,81400534	0,219159892	1659,740469	12,77551829	3,664105668	34,72134714	9451,077149
Osmerus_eperlanus	pelagic	planktivorous	3,46	0,95	non-guarder	2	27750	32	0,27	32	10	22,63807907	0,332455186	70,70286058	9,90976839	3,564359881	17,85887293	278,9577499
Oxynotus_paradoxus	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	124,8858801	0,091852536	9379,293225	29,8368247	13,13947277	80,6735456	1,659E+12
Pachycara_crassiceps	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	44,98386136	0,232812807	773,251876	11,09046661	2,82612837	24,63198777	3342,959497
Pagellus_acarne	benthopelagic	benthivorous	3,81	1	non-guarder	2,5	310500	29	0,25	37	7	31,19428075	0,249437686	454,7633936	9,073548434	2,492694913	16,06335831	345,3046338
Pagellus_bellottii	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	34,77657779	0,27579746	637,2705438	8,181884395	2,24857111	16,47243719	153,3115758
Pagellus_bogaraveo	benthopelagic	generalist	4,21	1,2	non-guarder	2,5	285000	54	0,17	53	20	54,67642568	0,136220932	2460,676733	13,99212753	3,965364933	25,99014625	22229,75599
Pagellus_erythrinus	benthopelagic	benthivorous	3,48	0,8	non-guarder	3	141600	52	0,14	60	20	35,94196229	0,193031241	753,1677471	11,61143765	3,141428993	17,38718841	1624,02796
Pagrus_auriga	benthopelagic	benthivorous	3,84	1,19	non-guarder	2,4	856136	118	0,06	80	18	57,44908598	0,166083774	3009,108858	15,10951363	3,802830248	27,46843396	14184,84816
Pagrus_pagrus	benthopelagic	benthivorous	3,86	0,9	non-guarder	1,9	200000	51	0,17	74	18	58,27400945	0,162254053	3180,311916	15,82133321	3,977926613	27,41403695	10223,80823
Parablennius_gattorugine	demersal	benthivorous	3,59	1,24	guarder	1	500	13	0,62	30	6,4	15,92704382	0,564650967	43,41454898	5,444001462	1,255781642	9,111353909	28,7493403
Pegusa_lascaris	demersal	benthivorous	3,29	1,35	non-guarder	4	500000	27	0,41	35	15	29,75013368	0,360458837	220,905632	14,13390483	2,870002915	19,88716579	931,8713857
Peristedion_cataphractum	demersal	benthivorous	3,66	1,52	NA	NA	NA	35	0,22	40	NA	34,51236659	0,230848989	360,6548871	11,61204011	3,540305469	20,26498213	3689,099104
Petromyzon_marinus	demersal	piscivorous	4,37	1,1	non-guarder	7	234333	54	0,16	84	11	47,52675479	0,165607147	774,9274485	11,02307611	4,363082234	25,62464576	3184,260159
Pholis_gunnellus	demersal	benthivorous	3,54	1,94	guarder	2	100	22	0,23	25	12	24,81785075	0,34324987	160,2858335	9,512684389	2,167603575	15,16656396	257,7894449
Phrynorhombus_norvegicus	bathydemersal	benthivorous	3,98	1,04	non-guarder	2,7	10000000	55	0,2	12	6	40,33229212	0,265022216	698,3850226	10,77361096	2,318644906	19,39448197	2057,494546
Phycis_blennoides	benthopelagic	benthivorous	3,66	0,84	non-guarder	3,5	1643889	53	0,23	50	20	52,55958651	0,283377393	928,6546676	8,169274746	2,378466985	27,53052518	577,3464072
Phycis_phycis	benthopelagic	generalist	4,25	0,84	non-guarder	3,5	8000000	65	0,19	64	5	63,18692874	0,248598529	1555,27691	6,472657174	2,177689491	29,31049591	324,2506851
Physiculus_dalwigki	benthopelagic	generalist	4,2	0,97	non-guarder	10,5	600000	43	0,15	30	27,4	58,37899776	0,202576899	1439,52894	14,0527009	3,926228455	33,43764029	39184,24554
Platichthys_flesus	demersal	benthivorous	3,32	0,95	non-guarder	3,8	1177674	41	0,36	58	15	40,89550576	0,250138398	570,8610947	13,96281012	3,574956614	21,52176077	12367,3679
Pleuronectes_platessa	demersal	benthivorous	3,23	2,17	non-guarder	3,5	552000	55	0,13	100	30	52,72452024	0,139449456	1806,810017	27,89196539	4,311039672	25,12369173	6835313,935
Pollachius_pollachius	benthopelagic	generalist	4,32	1,16	non-guarder	2,5	4535500	86	0,19	130	15	79,68051781	0,20680121	5619,306165	12,85434554	3,160289241	42,15596512	1407,674012
Pollachius_virens	demersal	generalist	4,31	1,11	non-guarder	4,2	4535500	109	0,13	130	25	115,3339295	0,129159903	19780,96736	21,67032267	5,37669599	61,13330523	201884,94
